name,stand,country,description,sectors
1CONFIRMED - WhatsApp AI Automations,"22C-18, Hall 22",Morocco,"1Confirmed is a messaging-first customer engagement platform that transforms WhatsApp into a powerful sales and customer experience channel. Designed for enterprises and fast-growing businesses, it en",Gaming; Cloud Services; Marketing / Advertising; Software as a Service - SaaS
2M TV,"14C-55, Hall 14",Morocco,"SOREAD 2M is one of Moroccoâs leading audiovisual companies, operating a widely recognized national TV channel with a strong and diverse audience. The company offers a rich mix of content, including","Media, Marketing & Advertising Tech; Studio; Content Marketing; Branding & Design; Automation; Artificial Intelligence; Ad Trading"
2PC Power Point Com,"11C-20, Hall 11",Morocco,"2PC is a Moroccan company founded in 1998, specializing in digital education and smart technology solutions. With over 25 years of experience, it delivers smart classroom systems using Horion interact","HealthTech; Internet of Things (IOT); Artificial Intelligence; Consumer Tech, Smart Home & Smart Workplace; Education Tech; Artificial Intelligence; Medical Practice; AI-optimized Hardware; Collaborative learning and technology; Computer and Mobile Hardware, Storage & Peripherals"
3C10 Distribution,"1B-60, Hall 1",Morocco,"We are a Value-Added Distributor dedicated to audiovisual integration professionals. We support resellers, installers, and integrators in their technological projects by providing more than just produ","Consumer Tech, Smart Home & Smart Workplace; Education Tech; Smart Cities; Education Technology Solutions; Presentation equipment; Interactive Boards / Touch Panels; EdTech & Smart Classroom Solution; Collaborative learning and technology; Audio Visual Equipment & Resources; Video Systems & Equipment"
3GCOM SARL,"13C-30, Hall 13",Morocco,"Founded in 2005, 3GCOM is a global system integrator of IT and telecoms solutions based in Rabat, Morocco providing advanced wireless and wire-line network end to end services and solutions to Telecom",
3N SystÃ¨mes,"4C-40, Hall 4",Morocco,"Integration of Infra, IA, RPA, Cloudâ¦..<br />
Security solutions, networkâ¦.",Artificial Intelligence; Autonomous Mobile Robots (AMRs); AI-optimized Hardware; Cognitive computing
ABA Technology,"10D-10, Hall 10",Morocco,"At ABA Technology, we design sovereign and responsible artificial intelligence to heal, strengthen, and protect.<br />
From health to education, from territories to the planet, our AI is designed for ",
Abajad ia,"21B-37, Hall 21",Morocco,"Abajad IA is the first B2B data intelligence platform built for Morocco and Francophone Africa - markets where Apollo.io and ZoomInfo simply don't operate.<br />
Instead of scraping data that doesn't ",Artificial Intelligence; Coding and Development; Web Development; Operating Systems Development; Machine Learning; Frontend Development; Enterprise Applications; Backend Development; Artificial Intelligence; Predictive APIs
Abrid,"TBC, TBC",Morocco,"Abrid is a travel management SaaS built for travel agencies, tour operators, and MICE operators. It replaces spreadsheets, email threads, and disconnected tools with one connected platform covering th",Software Services; CRM (Customer Relationship Management) Software; Business Process Management; Application integration and infrastructure
AbtalQuest,"23B-57, Hall 23",Morocco,"AbtalQuest is a purpose-driven digital platform that transforms childrenâs screen time into a tool for growth. Instead of passive or harmful consumption, it engages them in interactive quests and re",Gaming; Cyber security; Coding and Development; Education Tech; Ecommerce; Game Publishing; Game Design / Creation; Game Based Learning Programs & Simulations; Content development and design; Blended learning
ACCENT -  AGX,"11C-30, Hall 11",Morocco,"Plus de 25 ans d'excellence<br />
NÃ©e en 2002 d'une ambition claire : offrir au Maroc et Ã  l'Afrique des solutions numÃ©riques conÃ§ues et assemblÃ©es localement, Accent s'est imposÃ©e comme un pion","3D Printing & Printing Services; Design & Product Development - Simulation & Simulators; Apprenticeship, Training and Qualification"
Acridia,"23B-27, Hall 23",Morocco,"Acridia develops a smart, modular farming system for desert locusts, producing high-value, halal-certified protein with up to 70% protein content for global food markets. Leveraging worldwide expertis",AgriTech & FoodTech; Sustainability & Green Climate - Tech; Controlled environment systems; Climate-Smart Agriculture; Alternative Proteins; Agriculture 4.0 (Crop Production and Livestock); Fertilizer and Fertilizer Technology; Food & Agriculture - Food Agri B2B; Food & Agriculture; Smart Farming and Connectivity
actaDiag,"22C-42, Hall 22",Morocco,"actaDiag is an intelligent agronomic platform by e-acta, a company with over 13 years of field experience, supporting farmers in early crop disease detection and field decision-making.<br />
It offers",Artificial Intelligence; Coding and Development; AgriTech & FoodTech; Cloud Services; Web Development; Enterprise Applications; Cloud Computing; Backend Development; Artificial Intelligence; Enterprise Resource Planning - ERP
ACTAGEN,"20B-49, Hall 20",Morocco,"ACTAGEN is a legaltech solution designed to help legal and financial professionals efficiently manage corporate legal operations. It centralizes the full company lifecycle, including incorporation, go",Digital Finance; Sustainability & Green Climate - Tech; Cyber security; Artificial Intelligence; PropTech; ESG Business Services - Audit; Legal Tech; Taxation Solutions; RegTech / Audit / Regulatory Compliance; E-KYC
ADD,"8B-30, Hall 8",Morocco,Agence de DÃ©veloppement du Digital,HealthTech; Smart Cities; Big Data & Analytics; Networking & Infrastructure; Digital Finance; Government; Community Health Services; Research & Development; Open Banking / API; Emerging Tech
